user_id,role_id
vega@company.com,USER
lane@company.com,USER
pennington@company.com,USER
craft@company.com,USER
briggs@company.com,USER
harris@company.com,ADMIN
moreno@company.com,USER
mcintosh@company.com,USER
compton@company.com,USER
shepherd@company.com,USER
jones@company.com,USER
carpenter@company.com,USER
delacruz@company.com,USER
suarez@company.com,USER
myers@company.com,USER
wright@company.com,USER
soto@company.com,USER
mercado@company.com,USER
franco@company.com,USER
waters@company.com,USER
campos@company.com,USER
bartlett@company.com,USER
nielsen@company.com,USER
zimmerman@company.com,USER
gentry@company.com,USER
deleon@company.com,USER
herring@company.com,USER
lara@company.com,USER
norman@company.com,USER
elliot@company.com,USER
dummy@company.com,ADMIN
