employee_id,name,surname,date_hired,phonenumber,email,skype
1,Nicholas,Vega,20.03.2013,(64) 171-5210,vega@company.com,vega
2,Fallon,Lane,02.04.2010,(17) 443-5814,lane@company.com,lane
3,Hiroko,Pennington,15.03.2013,(16) 910-5228,pennington@company.com,pennington
4,Fleur,Craft,18.02.2010,(21) 457-4720,craft@company.com,craft
5,Xenos,Briggs,02.07.2010,(52) 420-3341,briggs@company.com,briggs
6,Alfonso,Harris,02.12.2008,(37) 720-5703,harris@company.com,harris
7,Steeve,Moreno,01.02.2011,(60) 273-4188,moreno@company.com,moreno
8,Devin,Mcintosh,13.12.2011,(49) 678-6070,mcintosh@company.com,mcintosh
9,Fredericka,Compton,01.07.2012,(85) 163-7457,compton@company.com,compton
10,Malik,Shepherd,05.04.2011,(87) 693-6662,shepherd@company.com,shepherd
11,Kaden,Jones,11.11.2009,(59) 129-5254,jones@company.com,jones
12,Lucian,Carpenter,10.01.2012,(42) 866-9238,carpenter@company.com,carpenter,
13,Oren,Delacruz,08.05.2013,(49) 882-6833,delacruz@company.com,delacruz
14,Wynne,Suarez,20.12.2011,(51) 225-3537,suarez@company.com,suarez
15,Ivy,Myers,30.03.2011,(52) 999-9863,myers@company.com,myers
16,Aiko,Wright,12.10.2009,(46) 414-6552,wright@company.com,wright
17,Victoria,Soto,15.10.2010,(68) 598-8285,soto@company.com,soto
18,Jada,Mercado,15.03.2012,(60) 280-7477,mercado@company.com,mercado
19,Wyatt,Franco,13.07.2013,(61) 209-1664,franco@company.com,franco
20,Alvin,Waters,16.12.2009,(34) 799-1510,waters@company.com,waters
21,Marsden,Campos,05.09.2008,(52) 790-4746,campos@company.com,campos
22,Casey,Bartlett,26.08.2011,(47) 248-2417,bartlett@company.com,bartlett
23,Aretha,Nielsen,16.03.2010,(98) 155-1212,nielsen@company.com,nielsen
24,Dillon,Zimmerman,12.01.2010,(87) 254-7938,zimmerman@company.com,zimmerman
25,Inez,Gentry,06.07.2012,(46) 560-9047,gentry@company.com,gentry
26,Imelda,Deleon,23.10.2008,(23) 509-4012,deleon@company.com,deleon
27,Ivana,Herring,02.09.2008,(64) 837-9398,herring@company.com,herring
28,Lionel,Lara,31.05.2012,(46) 764-2359,lara@company.com,lara
29,Cassady,Norman,10.12.2009,(95) 687-1016,norman@company.com,norman
30,Benedict,Elliott,06.02.2013,(94) 892-1449,elliot@company.com,elliot
